path,original_path,filename,extension,size_bytes,sha256,content_type,title,author,year,language,domain,document_role,confidence,review_status,status,notes
artificial-intelligence/llm/TDTU_LeAnhCuong_Introduction-to-LLMs_2024-08.pdf,LLM/Introduction-to-LLMs.pdf,TDTU_LeAnhCuong_Introduction-to-LLMs_2024-08.pdf,pdf,25417868,d60a5dcff9385afc8cc812ac0d6ee4f114c3f2ac2c92b11a280e882ef4a52916,course-material,Introduction to Large Language Models,"Lê Anh Cường, NLP-KD Lab, Ton Duc Thang University",2024,Vietnamese (with English technical terms),artificial-intelligence/llm,reference-material,HIGH,,MIGRATED,"Lecture deck (~95 pages), dated 8.2024, Ton Duc Thang University — different institution than the SoICT-HUST agent-memory seminar."
artificial-intelligence/llm/AIxFunda_KalyanKS_LLM-Interview-QA.pdf,LLM/LLM Interview.pdf,AIxFunda_KalyanKS_LLM-Interview-QA.pdf,pdf,2166642,5a932f72691268d6ad628d3a2eec7f8789512c53dc24af5400009339b0523298,interview-material,AIxFunda Newsletter — LLM Interview Q&A Compilation,"Kalyan KS (AIxFunda Newsletter, aixfunda.substack.com)",,English,artificial-intelligence/llm,reference-material,HIGH,,MIGRATED,"~46-page Q&A compilation from AIxFunda Substack by Kalyan KS, LLM interview prep, not original research."
artificial-intelligence/llm/LLM_Seminar_Prof_Tho_Group.pdf,LLM/LLM_Seminar_Prof_Tho_Group.pdf,LLM_Seminar_Prof_Tho_Group.pdf,pdf,1076276,8923e40542915d051e2a5b085afbc815118eb13cfe4d9e38cc00084cbd471bc8,slide-deck,Large Language Models: An Application-Oriented Perspective,"Duc-Minh Pham, PhD",,English,artificial-intelligence/llm,reference-material,MEDIUM,NEEDS_REVIEW,MIGRATED,"Short seminar deck (~19 pages) by Duc-Minh Pham, PhD. Filename's 'Prof_Tho_Group' attribution (possibly Assoc. Prof. Quan Thanh Tho) could not be verified from content — flagged for manual confirmation before renaming."
artificial-intelligence/deep-learning/Attention Mechanisms in Neural Networks.pdf,NN/Attention Mechanisms in Neural Networks.pdf,Attention Mechanisms in Neural Networks.pdf,pdf,619048,cba754164370a56ab86fd63387ae8a8b6726fb8abd95494390ee3f207662ec8a,research-paper,Attention Mechanisms in Neural Networks: A Comprehensive Mathematical Treatment From Theory to Implementation,Hasi Hays,2026,en,artificial-intelligence/deep-learning,reference-material,MEDIUM,NEEDS_REVIEW,MIGRATED,"Monograph-style (34+ pages). Author name 'Hasi Hays' unusual/unverifiable, arXiv ID could not be cross-checked (no network access) — flag for provenance verification, do not assume genuine peer-reviewed arXiv submission."
artificial-intelligence/generative-models/TextToImage - AI Viet Nam.pdf,NN/TextToImage - AI Viet Nam.pdf,TextToImage - AI Viet Nam.pdf,pdf,2634770,bfa0533b0ea0bb1989ead15ce3507da06ab806ce5fc275996baba2566dce7d06,slide-deck,TextToImage - AI Viet Nam (title inferred from filename only; no extractable text layer),,,unknown (likely Vietnamese),artificial-intelligence/generative-models,source-material,LOW,NEEDS_REVIEW,MIGRATED,"No text layer extractable (image-only/flattened PDF export, Producer='Pdftools SDK'). Title/topic inferred purely from filename — content unverified."
artificial-intelligence/computer-vision/YoNet_Presentation.pdf,NN/YoNet_Presentation.pdf,YoNet_Presentation.pdf,pdf,2597919,fa606446429d56df0d51731cc8a4fa54de4b280b0bb116e9cfb0c1e334607d4c,slide-deck,Kiến Trúc Mạng YoNet - Phát Hiện Đồng Hồ Nước Trên FPGA (YoNet Network Architecture - Water Meter Detection on FPGA),,,vi,artificial-intelligence/computer-vision,project-artifact,HIGH,,MIGRATED,"Custom YOLO-derived CNN ('YoNet') engineered for water-meter detection on FPGA/Xilinx DPU. Paired with YoNet_Presentation.tsx (related but more generic CNN/YOLO educational deck, same base filename, different specific content) — derived_from/paired relationship should be preserved in metadata."
artificial-intelligence/computer-vision/YoNet_Presentation.tsx,NN/YoNet_Presentation.tsx,YoNet_Presentation.tsx,tsx,99107,073d04defe20222c8184220d251a0e7af1043b9994fdcfe428456f528772e66c,source-code,"Kiến Trúc CNN & YOLO - Giải Thích Trực Quan với Tính Toán (React slide-deck component, exported as YOLOPresentation)",,,vi (UI text) / TypeScript+JSX (code),artificial-intelligence/computer-vision,code,HIGH,,MIGRATED,"Interactive slide-deck React component walking through CNN/YOLO building blocks with worked numeric examples. Paired/derived_from relationship with YoNet_Presentation.pdf — same subject family, more generic/pedagogical (not water-meter/FPGA-specific)."
artificial-intelligence/deep-learning/cheatsheet-convolutional-neural-networks.pdf,NN/cheatsheet-convolutional-neural-networks.pdf,cheatsheet-convolutional-neural-networks.pdf,pdf,1496884,fca67ac91305c6d78f9c93bc66b718ff779842b11dfafe374c81b6f5ab101ca6,cheatsheet,VIP Cheatsheet: Convolutional Neural Networks (Vietnamese translation),"Afshine Amidi & Shervine Amidi (original); VN translation by Phạm Hồng Vinh, Đàm Minh Tiến",2019,vi,artificial-intelligence/deep-learning,reference-material,HIGH,,MIGRATED,"Confirmed Stanford CS230 series, VN translation. Part of a coherent 4-file translated cheatsheet set with cheatsheet-deep-learning-tips-tricks.pdf, cheatsheet-recurrent-neural-networks.pdf, super-cheatsheet-deep-learning.pdf."
artificial-intelligence/deep-learning/cheatsheet-deep-learning-tips-tricks.pdf,NN/cheatsheet-deep-learning-tips-tricks.pdf,cheatsheet-deep-learning-tips-tricks.pdf,pdf,1338208,adc2ce418b4a65fbb3489a3ca698d537d4bfc082178cc5060fdecf1e76606f56,cheatsheet,VIP Cheatsheet: Deep Learning Tips and Tricks (Vietnamese translation),"Afshine Amidi & Shervine Amidi (original); VN translation by Hoàng Minh Tuấn, Trần Tuấn Anh, Đàm Minh Tiến",2019,vi,artificial-intelligence/deep-learning,reference-material,HIGH,,MIGRATED,Part of same coherent 4-file Stanford CS230 cheatsheet set.
artificial-intelligence/deep-learning/cheatsheet-recurrent-neural-networks.pdf,NN/cheatsheet-recurrent-neural-networks.pdf,cheatsheet-recurrent-neural-networks.pdf,pdf,997681,01c28d81a6e4f60b86737fa98f4e18be65824d221391209ea62ac6dcfd986830,cheatsheet,VIP Cheatsheet: Recurrent Neural Networks (Vietnamese translation),"Afshine Amidi & Shervine Amidi (original); VN translation by Trần Tuấn Anh, Đàm Minh Tiến, Hưng Nguyễn, Nguyễn Trí Minh",2019,vi,artificial-intelligence/deep-learning,reference-material,HIGH,,MIGRATED,Part of same coherent 4-file Stanford CS230 cheatsheet set.
artificial-intelligence/deep-learning/super-cheatsheet-deep-learning.pdf,NN/super-cheatsheet-deep-learning.pdf,super-cheatsheet-deep-learning.pdf,pdf,3289290,02687f3f6ca228eeb8098cb72656bf212a89d79b97102ffb46f1d29550a11e25,cheatsheet,"Super VIP Cheatsheet: Deep Learning (Vietnamese translation, combined CNN+RNN+Tips&Tricks)","Afshine Amidi & Shervine Amidi (original); VN translation by Phạm Hồng Vinh, Đàm Minh Tiến et al.",2019,vi,artificial-intelligence/deep-learning,reference-material,HIGH,,MIGRATED,Combined/superset document of the other 3 cheatsheet-*.pdf files in this set.
artificial-intelligence/agents/Agentic Context Engineering.pdf,Paper/Agentic Context Engineering.pdf,Agentic Context Engineering.pdf,pdf,2140519,880e354fc747d44432409ef9dc1378a9a8aab2e4a326adb8e30f6bb44ff2808d,research-paper,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,"Qizheng Zhang, Changran Hu, Shubhangi Upasani, et al. (Stanford, SambaNova, UC Berkeley)",2025,,artificial-intelligence/agents,source-material,HIGH,,MIGRATED,
artificial-intelligence/foundations/Encyclopedia of LLMs and Foundation Models.pdf,Paper/Encyclopedia of LLMs and Foundation Models.pdf,Encyclopedia of LLMs and Foundation Models.pdf,pdf,875732,64ce138f1d47743d63089a0488f89b836b0ca09cdecf9b15bb12500573463d4d,reference,Encyclopedia of Large Language Models and Foundation Models,Hasi Hays,2026,,artificial-intelligence/foundations,source-material,MEDIUM,NEEDS_REVIEW,MIGRATED,"Single-author, unusual affiliation (Chemical Engineering dept.), no arXiv ID — same author name 'Hasi Hays' as NN/Attention Mechanisms paper, worth cross-referencing for provenance."
artificial-intelligence/foundations/End-to-End Test-Time Training for Long Context.pdf,Paper/End-to-End Test-Time Training for Long Context.pdf,End-to-End Test-Time Training for Long Context.pdf,pdf,533947,ce624818a7c8bb093e0bad88909b9305f7842f4232668b6c6fb0676c6c615dee,research-paper,End-to-End Test-Time Training for Long Context,"Arnuv Tandon, Karan Dalal, Yu Sun, et al. (Astera Institute, NVIDIA, Stanford, UC Berkeley, UCSD)",2025,,artificial-intelligence/foundations,source-material,MEDIUM,NEEDS_REVIEW,MIGRATED,
"artificial-intelligence/agents/LLM Agents in Law_ Taxonomy, Applications, and Challenges.pdf","Paper/LLM Agents in Law_ Taxonomy, Applications, and Challenges.pdf","LLM Agents in Law_ Taxonomy, Applications, and Challenges.pdf",pdf,2605577,e073521dfeb29782d62beae868e84caa04060bb0f6f7471084b78c65441602fa,research-paper,"LLM Agents in Law: Taxonomy, Applications, and Challenges","Shuang Liu, Ruijia Zhang, Ruoyun Ma, et al. (CMU, NUS, Stanford et al.)",2026,,artificial-intelligence/agents,source-material,HIGH,,MIGRATED,
artificial-intelligence/foundations/Manifold-Constrained Hyper-Connections - mHC.pdf,Paper/Manifold-Constrained Hyper-Connections - mHC.pdf,Manifold-Constrained Hyper-Connections - mHC.pdf,pdf,938091,6105947a24b668522630e07846969942a288b27fe29255ba7d698831e59d4d1b,research-paper,Manifold-Constrained Hyper-Connections (mHC),Minh Tuan Tran (Neuriton Team),,vi,artificial-intelligence/foundations,source-material,LOW,NEEDS_REVIEW,MIGRATED,"Vietnamese technical report, small team, no peer review/arXiv ID."
artificial-intelligence/llm/Ministral-3-Technical-Report-2026.pdf,Paper/Ministral 3.pdf,Ministral-3-Technical-Report-2026.pdf,pdf,691212,98cb4208c5c8d8246475dee31eab5c3681f4ec88fc4caa5a441d04007c2e5992,research-paper,Ministral 3,Mistral AI,2026,,artificial-intelligence/llm,source-material,HIGH,,MIGRATED,
artificial-intelligence/llm/Prompt Repetition Improves Non-Reasoning LLMs.pdf,Paper/Prompt Repetition Improves Non-Reasoning LLMs.pdf,Prompt Repetition Improves Non-Reasoning LLMs.pdf,pdf,1809081,5dd7b024ba18d86a4ca3855620b34bf41dc5905c27a9c6866d971f29ae7e0815,research-paper,Prompt Repetition Improves Non-Reasoning LLMs,"Yaniv Leviathan, Matan Kalman, Yossi Matias (Google Research)",2025,,artificial-intelligence/llm,source-material,HIGH,,MIGRATED,
artificial-intelligence/agents/RECURSIVE LANGUAGE MODELS.pdf,Paper/RECURSIVE LANGUAGE MODELS.pdf,RECURSIVE LANGUAGE MODELS.pdf,pdf,8250587,7f0e822fdde98bdb7348fe565481e59b70470b240e43d23cc2b7ffac13d9cd75,research-paper,Recursive Language Models,"Alex L. Zhang, Tim Kraska, Omar Khattab (MIT CSAIL)",2025,,artificial-intelligence/agents,source-material,HIGH,,MIGRATED,
artificial-intelligence/agents/Small Language Models for Efficient Agentic Tool Calling.pdf,Paper/Small Language Models for Efficient Agentic Tool Calling.pdf,Small Language Models for Efficient Agentic Tool Calling.pdf,pdf,525404,7e2fe36a110a656c751bb70de2a956a6fdc2ffd8d199f6ca64380c0cc214a86a,research-paper,Small Language Models for Efficient Agentic Tool Calling: Outperforming Large Models with Targeted Fine-tuning,"Polaris Jhandi, Owais Kazi, Shreyas Subramanian, Neel Sendas (AWS)",2025,,artificial-intelligence/agents,source-material,HIGH,,MIGRATED,AAAI 2026 copyright notice.
artificial-intelligence/agents/Training-Free Group Relative Policy Optimization.pdf,Paper/Training-Free Group Relative Policy Optimization.pdf,Training-Free Group Relative Policy Optimization.pdf,pdf,2074585,1bac429e6186f5d9cfca0d086d708b7b9941297a0c10485a1e015d640d595919,research-paper,Training-Free Group Relative Policy Optimization (Training-Free GRPO),Youtu-Agent Team (Tencent),2025,,artificial-intelligence/agents,source-material,HIGH,,MIGRATED,
research/transportation/eta-prediction/A deep learning-based approach for predicting in-flight estimated time of arrival.pdf,Paper/Transportation/A deep learning-based approach for predicting in-flight estimated time of arrival.pdf,A deep learning-based approach for predicting in-flight estimated time of arrival.pdf,pdf,1822887,884648bf91011e8ef0c19200d14b79a2826dbaddaaf6e80dc9267b18e1d4eae9,unknown,A deep learning-based approach for predicting in-flight estimated time of arrival,"Jorge Silvestre, Miguel A. Martínez-Prieto, Anibal Bregon, Pedro C. Álvarez-Esteban",2024,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,
research/transportation/eta-prediction/Estimated Time of Arrival for Sustainable Transport Using Deep Neural Network.pdf,Paper/Transportation/Estimated Time of Arrival for Sustainable Transport Using Deep Neural Network.pdf,Estimated Time of Arrival for Sustainable Transport Using Deep Neural Network.pdf,pdf,250196,3a3881e4434c206dc3797ff8fbec2e9bb91f369c9e99619b8aa748d000ca0b51,unknown,Estimated Time of Arrival for Sustainable Transport Using Deep Neural Network,"Aditya, Hina Firdaus",2023,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,
research/transportation/eta-prediction/Predicting Expected Time of Arrival of Shipments Through Multiple Linear Regression.pdf,Paper/Transportation/Predicting Expected Time of Arrival of Shipments Through Multiple Linear Regression.pdf,Predicting Expected Time of Arrival of Shipments Through Multiple Linear Regression.pdf,pdf,303779,6f307acc4f78fd3307ae6b333b50964a4ead1cbf0a47eb7d3c846e8891f52f9e,unknown,Predicting Expected Time of Arrival of Shipments Through Multiple Linear Regression,"Prasad C. Mahajan, Arvind W. Kiwelekar, Laxman D. Netak, Akshay B. Ghodake",2022,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,
research/transportation/eta-prediction/Real-time bus arrival delays analysis using seemingly unrelated regression model.pdf,Paper/Transportation/Real-time bus arrival delays analysis using seemingly unrelated regression model.pdf,Real-time bus arrival delays analysis using seemingly unrelated regression model.pdf,pdf,1454012,a2201fc2f6a68b04c2ff49120f60a5f36cf4244132eaf088032e8bb21cf86fae,unknown,Real-time bus arrival delays analysis using seemingly unrelated regression model,"Qi Zhang, Zhenliang Ma, Pengfei Zhang, Yancheng Ling, Erik Jenelius",2024,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,
research/transportation/eta-prediction/Towards Vessel Arrival Time Prediction Through a Deep Neural Network Cluster.pdf,Paper/Transportation/Towards Vessel Arrival Time Prediction Through a Deep Neural Network Cluster.pdf,Towards Vessel Arrival Time Prediction Through a Deep Neural Network Cluster.pdf,pdf,897941,51a060300a7390b8550f7238c85bdc49002f7db7212b7ee54f0074f6f40a80b5,unknown,Towards Vessel Arrival Time Prediction Through a Deep Neural Network Cluster,"Thimo F. Schindler, Jan-Hendrik Ohlendorf, Klaus-Dieter Thoben",2024,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,
research/transportation/eta-prediction/TransETA transformer networks for estimated time of arrival with local congestion representation.pdf,Paper/Transportation/TransETA transformer networks for estimated time of arrival with local congestion representation.pdf,TransETA transformer networks for estimated time of arrival with local congestion representation.pdf,pdf,2698537,d22311bf332a3b52faef65cb0bdb61cd2f51d8fe78cc7505af86c700f90ef559,unknown,TransETA: transformer networks for estimated time of arrival with local congestion representation,"Shu Lin, Yanyan Xu, Shengjian Zhao, Yibing Wang, Jungang Xu",2023,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,
research/transportation/speed-estimation/Video-Based Vehicle Speed Estimation Using Speed Measurement Metrics.pdf,Paper/Transportation/Video-Based Vehicle Speed Estimation Using Speed Measurement Metrics.pdf,Video-Based Vehicle Speed Estimation Using Speed Measurement Metrics.pdf,pdf,2278313,064a2527d417b39443546321d79eb437cb8dd9cea08114abb603181bc0db775f,unknown,Video-Based Vehicle Speed Estimation Using Speed Measurement Metrics,"Keattisak Sangsuwan, Mongkol Ekpanyapong",2024,,transportation/speed-estimation,unknown,HIGH,DUPLICATE_REVIEW,MIGRATED,"CONFIRMED CORRECT filename/content match. Exact SHA-256 duplicate of 'Paper/Transportation/speed estimated/Design and Implementation of Vehicle Speed Estimation Using Road Marking-based Perspective Transformation.pdf', whose filename does NOT match its content — that copy's filename is wrong."
research/transportation/dataset_traffic_images_videos_full_with_api_extended.xlsx,Paper/Transportation/dataset_traffic_images_videos_full_with_api_extended.xlsx,dataset_traffic_images_videos_full_with_api_extended.xlsx,xlsx,13666,f60dfe8003c5f58cec394843c2f7c2b13a761c6449d974c6f637f5379d5f19bf,dataset,Traffic Images/Videos/API Dataset Catalog (extended),,,vi/en,transportation,dataset,MEDIUM,,MIGRATED,"Curated inventory spreadsheet (~30 rows) of public traffic datasets/APIs w/ links & licensing notes — a research-planning artifact supporting the ETA/speed-estimation collection, not a paper itself."
research/transportation/speed-estimation/A Novel Approach for On-road Vehicle Detection and Tracking.pdf,Paper/Transportation/time of arrival/A Novel Approach for On-road Vehicle Detection and Tracking.pdf,A Novel Approach for On-road Vehicle Detection and Tracking.pdf,pdf,587251,6dd7610c5eaa5c9d64c2e30bd8461d6139a3b47365d0cb13cd5e265fd1cc897a,unknown,A Novel Approach for On-road Vehicle Detection and Tracking,"Ilyas EL JAAFARI, Mohamed EL ANSARI, Lahcen KOUTTI, et al.",2016,,transportation/speed-estimation,unknown,HIGH,NEEDS_REVIEW,MIGRATED,"Detection/tracking supporting-reference paper, not ETA-specific, filed under 'time of arrival' folder."
research/transportation/eta-prediction/Estimated Time of Arrival (ETA) Performance System Comparative Evaluation.pdf,Paper/Transportation/time of arrival/Accurate Estimated Time of Arrival Prediction Using Real-Time Path-Level Speed Computation.pdf,Estimated Time of Arrival (ETA) Performance System Comparative Evaluation.pdf,pdf,5636091,2b8a89ebc9b6d919673256158add69075c937fed7f908ade66fd3c110ebab7c0,unknown,Estimated Time of Arrival (ETA) Performance System Comparative Evaluation,"Michael Cramer, Albert Herndon, Sam Miller, Laura Rodriguez",2015,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,MAJOR FILENAME MISMATCH — filename text does not appear anywhere in actual content (a MITRE aviation FMS slide-deck-style paper). Likely a mislabeling/filing error.
research/transportation/eta-prediction/Deep Encoder Cross Network for Estimated Time of Arrival.pdf,Paper/Transportation/time of arrival/Deep Encoder Cross Network for Estimated Time.pdf,Deep Encoder Cross Network for Estimated Time of Arrival.pdf,pdf,2509412,afd2a6679294b2ba0a63298e3ce8de061307335576ebf48395e9730bb7c4a667,unknown,Deep Encoder Cross Network for Estimated Time of Arrival,"Kai-Fung Chu, Albert Y. S. Lam, Ka Ho Tsoi, Zhiran Huang, Becky P. Y. Loo",2023,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,Filename truncated — missing 'of Arrival'.
research/transportation/eta-prediction/Location Estimation via the Direction of Arrival Techniques Based on the IEEE 802.11n WLANs.pdf,Paper/Transportation/time of arrival/Location Estimation via the Direction of Arrival Techniques Based on the IEEE 802.11n WLANs.pdf,Location Estimation via the Direction of Arrival Techniques Based on the IEEE 802.11n WLANs.pdf,pdf,696158,a4e224327873c1b598c907d849be2ba0aa660314deb733bbbf88abaa59accd2d,unknown,Location Estimation via the Direction of Arrival Techniques Based on the IEEE 802.11n WLANs,"S. A. Napoleon, A. S. Omar, S. H. Elramly, S. A. Khamis, M. E. Nasr",2014,,transportation,unknown,MEDIUM,NEEDS_REVIEW,MIGRATED,"OFF-TOPIC: RF/WLAN indoor-localization paper, not vehicle/traffic ETA — swept in via keyword overlap on 'arrival'. Likely misfiled."
research/transportation/eta-prediction/Predicting Estimated Time of Arrival Using Boosting Models.pdf,Paper/Transportation/time of arrival/Predicting Estimated Time of Arrival Using Boosting Models.pdf,Predicting Estimated Time of Arrival Using Boosting Models.pdf,pdf,1231970,33e7d2bd05dbd76faddd6f46fb9aeb1513e09afcbc1b0f334bba04cfb38dd895,unknown,Predicting Estimated Time of Arrival Using Boosting Models,"Say-Hong Kam, Sye-Loong Keoh, Yung-Wey Chong, et al.",2024,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,
research/transportation/eta-prediction/Real-Time Bus Arrival Prediction. A Deep Learning Approach for Enhanced Urban Mobility.pdf,Paper/Transportation/time of arrival/Real-Time Bus Arrival Prediction. A Deep Learning Approach for Enhanced Urban Mobility.pdf,Real-Time Bus Arrival Prediction. A Deep Learning Approach for Enhanced Urban Mobility.pdf,pdf,24424452,46c77389ae561d11e8f67f36d9b6d331ecee99907ff2794d904697b4fb3c5be2,unknown,Real-Time Bus Arrival Prediction: A Deep Learning Approach for Enhanced Urban Mobility,"Narges Rashvand, Sanaz Sadat Hosseini, Mona Azarbayjani, Hamed Tabkhi",2024,,transportation/eta-prediction,unknown,HIGH,,MIGRATED,
research/transportation/eta-prediction/Super-Resolution Time-of-Arrival Estimation using Neural Networks.pdf,Paper/Transportation/time of arrival/Super-Resolution Time-of-Arrival Estimation using Neural Networks.pdf,Super-Resolution Time-of-Arrival Estimation using Neural Networks.pdf,pdf,2566326,70e1f690560d3e5111edba2efa0e0f9eb375a8b9bd5d7dac9de3495862fd778e,unknown,Super-Resolution Time-of-Arrival Estimation using Neural Networks,"Yao-Shan Hsiao, Mingyu Yang, Hun-Seok Kim",2020,,transportation,unknown,MEDIUM,NEEDS_REVIEW,MIGRATED,"OFF-TOPIC: RF ToA/wireless-localization paper, not vehicle/traffic ETA — keyword-overlap misfile."
research/transportation/eta-prediction/The Impact of Multipath Information on Time-of-Arrival Estimation.pdf,Paper/Transportation/time of arrival/The Impact of Multipath Information on Time-of-Arrival Estimation.pdf,The Impact of Multipath Information on Time-of-Arrival Estimation.pdf,pdf,1856908,ba0d208b66985ecc5c0dcd43064bcf15ed53ba0802f31bab36661748ab5545f1,unknown,The Impact of Multipath Information on Time-of-Arrival Estimation,"Wesley M. Gifford, Davide Dardari, Moe Z. Win",2020,,transportation,unknown,MEDIUM,NEEDS_REVIEW,MIGRATED,"OFF-TOPIC: UWB ranging/localization theory paper, not vehicle/traffic ETA — keyword-overlap misfile."
research/transportation/speed-estimation/Vehicle detection and tracking using homography-based plane rectification and particle filtering.pdf,Paper/Transportation/time of arrival/Vehicle detection and tracking using homography-based plane rectification and particle filtering.pdf,Vehicle detection and tracking using homography-based plane rectification and particle filtering.pdf,pdf,1539065,9e778a3b8985a43fb5382742300444895d7b8f23baf50c07ebcb7b2b3e21a615,unknown,Vehicle detection and tracking using homography-based plane rectification and particle filtering,"Jon Arróspide, Luis Salgado, Marcos Nieto",,,transportation/speed-estimation,unknown,MEDIUM,NEEDS_REVIEW,MIGRATED,"Detection/tracking supporting-reference paper (~2009-2010), not ETA-specific."
research/transportation/speed-estimation/A high accurate vehicle speed estimation method.pdf,Paper/Transportation/speed estimated/A high accurate vehicle speed estimation method.pdf,A high accurate vehicle speed estimation method.pdf,pdf,1359008,49b3d7ee147ecaecc748654bd1fa67a6019cd0a2fd0f58ae797ae2fcd2bc1eff,unknown,A high accurate vehicle speed estimation method,"Shengnan Lu, Yuping Wang, Huansheng Song",2019,,transportation/speed-estimation,unknown,HIGH,,MIGRATED,
research/transportation/speed-estimation/Accurate Vehicles Detection and Speed Estimation Using Homography Based Background Subtraction and Deep Learning Approaches.pdf,Paper/Transportation/speed estimated/Accurate Vehicles Detection and Speed Estimation Using Homography Based Background Subtraction and Deep Learning Approaches.pdf,Accurate Vehicles Detection and Speed Estimation Using Homography Based Background Subtraction and Deep Learning Approaches.pdf,pdf,334421,75d301ffcbc85a66b1502b712754555bd50fab1c8304b8112f704a8d2d016592,unknown,Accurate Vehicles Detection and Speed Estimation Using Homography Based Background Subtraction and Deep Learning Approaches,"Jabbarul Islam, Md. Tohidul Islam, Md. Golam Rashed, Dipankar Das",2023,,transportation/speed-estimation,unknown,HIGH,,MIGRATED,
research/transportation/speed-estimation/An Improved Speed Estimation Using Deep Homography Transformation Regression Network on Monocular Videos.pdf,Paper/Transportation/speed estimated/An Improved Speed Estimation Using Deep Homography Transformation Regression Network on Monocular Videos.pdf,An Improved Speed Estimation Using Deep Homography Transformation Regression Network on Monocular Videos.pdf,pdf,2580679,e88e126395bcb1f250332eee87d6c15d26558ed6e3a8f302373ae253669f3c69,unknown,An Improved Speed Estimation Using Deep Homography Transformation Regression Network on Monocular Videos,"Ervin Yohannes, Chih-Yang Lin, Timothy K. Shih, et al.",2023,,transportation/speed-estimation,unknown,HIGH,,MIGRATED,
,Paper/Transportation/speed estimated/Design and Implementation of Vehicle Speed Estimation Using Road Marking-based Perspective Transformation.pdf,Design and Implementation of Vehicle Speed Estimation Using Road Marking-based Perspective Transformation.pdf,pdf,2278313,064a2527d417b39443546321d79eb437cb8dd9cea08114abb603181bc0db775f,unknown,Video-Based Vehicle Speed Estimation Using Speed Measurement Metrics,"Keattisak Sangsuwan, Mongkol Ekpanyapong",2024,,transportation/speed-estimation,unknown,HIGH,DUPLICATE_REVIEW,RETIRED,"FILENAME MISMATCH + EXACT DUPLICATE (SHA-256 verified) of Paper/Transportation/Video-Based Vehicle Speed Estimation Using Speed Measurement Metrics.pdf. Real title per content is 'Video-Based Vehicle Speed Estimation Using Speed Measurement Metrics'. [RETIRED during migration: duplicate content, other copy kept.]"
"research/transportation/speed-estimation/Detection, Tracking, and Speed Estimation of Vehicles. A Homography-based Approach.pdf","Paper/Transportation/speed estimated/Detection, Tracking, and Speed Estimation of Vehicles. A Homography-based Approach.pdf","Detection, Tracking, and Speed Estimation of Vehicles. A Homography-based Approach.pdf",pdf,21537496,c5041f99dd89886f9e71c512e5ebaf00a15183be8bb744a5d65c7bd1a9f9557e,unknown,"Detection, Tracking, and Speed Estimation of Vehicles: A Homography-based Approach","Kaleb Blankenship, Sotirios Diamantas",2022,,transportation/speed-estimation,unknown,HIGH,,MIGRATED,
research/transportation/speed-estimation/Efficient vision-based vehicle speed estimation.pdf,Paper/Transportation/speed estimated/Efficient vision-based vehicle speed estimation.pdf,Efficient vision-based vehicle speed estimation.pdf,pdf,1050545,a2fe34a57de47df337a64b5cc850f8f36e540098d8e4d55704c826c999ac7e38,unknown,Efficient vision-based vehicle speed estimation,"Andrej Macko, Lukáš Gajdošech, Viktor Kocúr",2025,,transportation/speed-estimation,unknown,HIGH,,MIGRATED,
research/transportation/speed-estimation/Embedded Vehicle Speed Estimation System Using an Asynchronous Temporal Contrast Vision Sensor.pdf,Paper/Transportation/speed estimated/Embedded Vehicle Speed Estimation System Using an Asynchronous Temporal Contrast Vision Sensor.pdf,Embedded Vehicle Speed Estimation System Using an Asynchronous Temporal Contrast Vision Sensor.pdf,pdf,1154023,306ee9ed7ef74b0e255bfe63ef4308de85c5d56d62dac67dc697579a5f8a1f82,unknown,Embedded Vehicle Speed Estimation System Using an Asynchronous Temporal Contrast Vision Sensor,D. Bauer et al.,2007,,transportation/speed-estimation,unknown,HIGH,,MIGRATED,
research/transportation/speed-estimation/Speed Estimation Thanks to Two Images from One Stationary Camera.pdf,Paper/Transportation/speed estimated/Speed Estimation Thanks to Two Images from One Stationary Camera.pdf,Speed Estimation Thanks to Two Images from One Stationary Camera.pdf,pdf,1273465,ec576db74269dabe0912c71f07f7270bc2f6ddf4daebd0af34e0e86c01c9d02e,unknown,Speed Estimation Thanks to Two Images from One Stationary Camera,Charles Beumier,2012,,transportation/speed-estimation,unknown,HIGH,,MIGRATED,
research/transportation/speed-estimation/Tracking and Estimating the Speed of Vehicles Using an Enhanced R-CNN and Deep SORT Architecture.pdf,Paper/Transportation/speed estimated/Tracking and Estimating the Speed of Vehicles Using an Enhanced R-CNN and Deep SORT Architecture.pdf,Tracking and Estimating the Speed of Vehicles Using an Enhanced R-CNN and Deep SORT Architecture.pdf,pdf,2524014,619f60901eaaba0dcee79839e996ff2a0313cd3b8748f69fa8eaf1db87733f26,unknown,Tracking and Estimating the Speed of Vehicles Using an Enhanced R-CNN and Deep SORT Architecture,"Marwa A. Marzouk, Mohamed Elkholy",2025,,transportation/speed-estimation,unknown,HIGH,,MIGRATED,
